Academic9,StudyTime9,Academic10,StudyTime10,Academic11,StudyTime11,Academic12,StudyTime12
90,3,,0.5,100,0,,3
,1,93,1,88,2,,0.2
,3,85,4,,2,,0.5
87,0.5,,3,89,6,,2
90,1,,4.5,,2,,0
91,0.5,,2,,3,,3
80,2,,1.5,,2.5,,2
82,0,,0,,3,93,3
76,3,,1.5,95,0.5,92,3
,,,2,89,2,,2.5
,,88,0,,3,,0
,,86,2,87,2.5,,0
,,,,82,3,98,3
,,,,,,,3
